CompanyName,ContactName
Alfreds Futterkiste,Maria Anders
Consolidated Holdings,Elizabeth Brown
Drachenblut Delikatessen,Sven Ottlieb
Du monde entier,Janine Labrune
Ana Trujillo Emparedados y helados,Ana Trujillo
Ernst Handel,Roland Mendel
Eastern Connection,Ann Devon
Familia Arquibaldo,Aria Cruz
FISSA Fabrica Inter. Salchichas S.A.,Diego Roel
Folies gourmandes,Martine Rancé
Folk och fä HB,Maria Larsson
Frankenversand,Peter Franken
France restauration,Carine Schmitt
Franchi S.p.A.,Paolo Accorti
Furia Bacalhau e Frutos do Mar,Lino Rodriguez
Galería del gastrónomo,Eduardo Saavedra
Gourmet Lanchonetes,André Fonseca
Great Lakes Food Market,Howard Snyder
Godos Cocina Típica,José Pedro Freyre
GROSELLA-Restaurante,Manuel Pereira
Comércio Mineiro,Pedro Afonso
Bon app',Laurence Lebihan
Berglunds snabbköp,Christina Berglund
Bottom-Dollar Markets,Elizabeth Lincoln
Antonio Moreno Taquería,Antonio Moreno
B's Beverages,Victoria Ashworth
Around the Horn,Thomas Hardy
Bólido Comidas preparadas,Martín Sommer
Blauer See Delikatessen,Hanna Moos
Hanari Carnes,Mario Pontes
Hungry Coyote Import Store,Yoshi Latimer
Centro comercial Moctezuma,Francisco Chang
Hungry Owl All-Night Grocers,Patricia McKenna
Island Trading,Helen Bennett
Cactus Comidas para llevar,Patricio Simpson
Königlich Essen,Philip Cramer
La maison d'Asie,Annette Roulet
Laughing Bacchus Wine Cellars,Yoshi Tannamuri
Lazy K Kountry Store,John Steel
La corne d'abondance,Daniel Tonini
LILA-Supermercado,Carlos González
Let's Stop N Shop,Jaime Yorres
LINO-Delicateses,Felipe Izquierdo
Lonesome Pine Restaurant,Fran Wilson
Lehmanns Marktstand,Renate Messner
HILARION-Abastos,Carlos Hernández
Magazzini Alimentari Riuniti,Giovanni Rovelli
Maison Dewey,Catherine Dewey
Blondesddsl père et fils,Frédérique Citeaux
Chop-suey Chinese,Yang Wang
